a;x1_sr;x2_sr;y_sr;L_wyw_sr;r_sr
4.00000;2.74056;2.91269;-0.18916;2395.57000;3.99966
4.49340;3.04306;3.30524;-0.21723;3366.57000;4.49304
5.00000;3.17689;3.17686;-0.21723;920.82000;4.49278
