a;x1_start;x2_start;x1_kon;x2_kon;y;L_wyw;Flaga;r
4.00000;3.08744;1.30791;2.97125;2.67936;-0.18931;608;1;4.00091
4.00000;3.47256;1.47510;3.05705;2.57971;-0.18921;876;1;4.00006
4.00000;1.70408;3.48559;2.51583;3.10976;-0.18920;1315;1;4.00000
4.00000;3.41313;1.80880;2.88646;2.77026;-0.18929;575;1;4.00074
4.00000;2.17189;2.64434;2.96966;2.68111;-0.18931;617;1;4.00091
4.00000;1.41046;3.67689;2.74011;2.91509;-0.18929;563;1;4.00074
4.00000;1.27808;1.79146;2.59927;3.04051;-0.18921;836;1;4.00011
4.00000;2.93083;1.11830;3.05643;2.58045;-0.18921;912;1;4.00006
4.00000;2.31462;2.82293;3.04823;2.59021;-0.18921;835;1;4.00011
4.00000;1.55194;3.21485;2.14275;3.37820;-0.18925;644;1;4.00045
4.00000;3.52381;1.76167;2.94031;2.71327;-0.18931;598;1;4.00091
4.00000;1.96464;2.08706;2.73928;2.91587;-0.18929;581;1;4.00074
4.00000;1.00519;3.77248;2.21572;3.33026;-0.18920;1028;1;4.00001
4.00000;1.30050;1.38955;2.48261;3.13638;-0.18920;970;1;4.00003
4.00000;1.69134;1.94473;3.12031;2.50282;-0.18921;846;1;4.00006
4.00000;1.75816;1.67624;2.91975;2.73513;-0.18929;579;1;4.00074
4.00000;2.08893;3.29721;2.77654;2.88042;-0.18929;584;1;4.00075
4.00000;1.06314;3.38426;2.72183;2.93131;-0.18921;567;1;4.00011
4.00000;3.20820;1.47042;3.05698;2.57973;-0.18920;1088;1;4.00001
4.00000;2.96515;1.83229;2.90945;2.74609;-0.18929;575;1;4.00074
4.00000;2.02510;2.04875;2.82746;2.83047;-0.18929;579;1;4.00076
4.00000;2.01765;2.31781;2.91388;2.74139;-0.18929;613;1;4.00074
4.00000;2.67327;2.75750;2.80454;2.85317;-0.18929;594;1;4.00075
4.00000;1.84152;1.98746;2.83644;2.82146;-0.18929;591;1;4.00075
4.00000;1.66759;3.11954;2.58881;3.04942;-0.18921;813;1;4.00011
4.00000;2.70466;1.31425;2.97020;2.68051;-0.18931;574;1;4.00090
4.00000;2.29525;1.70658;2.98037;2.66853;-0.18925;697;1;4.00045
4.00000;3.25549;1.19765;3.09249;2.53707;-0.18920;924;1;4.00003
4.00000;2.69939;1.16745;3.09540;2.53352;-0.18920;924;1;4.00003
4.00000;1.60808;2.82644;2.41484;3.18882;-0.18920;1234;1;4.00000
4.00000;1.13043;1.95596;2.14383;3.37751;-0.18925;634;1;4.00045
4.00000;1.41115;2.74872;2.65740;2.99089;-0.18931;575;1;4.00090
4.49340;1.98236;1.65037;3.94941;2.14308;-0.21723;216;1;4.49340
4.49340;3.26983;2.04870;3.81527;2.37368;-0.21723;148;1;4.49340
4.49340;3.56688;1.27916;4.18096;1.64628;-0.21723;177;1;4.49340
4.49340;3.53056;1.55222;4.00481;2.03767;-0.21723;236;1;4.49340
4.49340;1.82481;3.80566;2.37718;3.81309;-0.21723;151;1;4.49340
4.49340;1.91529;2.65280;2.58295;3.67682;-0.21723;170;1;4.49340
4.49340;2.06167;2.19988;2.67905;3.60740;-0.21723;236;1;4.49340
4.49340;2.32402;2.19755;3.49806;2.82033;-0.21723;241;1;4.49340
4.49340;2.41432;2.58830;2.59575;3.66780;-0.21723;237;1;4.49340
4.49340;3.13116;3.06951;2.87574;3.45265;-0.21723;231;1;4.49340
4.49340;2.91166;2.43654;3.23085;3.12286;-0.21723;164;1;4.49340
4.49340;1.80315;2.75812;2.45877;3.76100;-0.21723;153;1;4.49340
4.49340;1.50565;2.74126;1.92137;4.06189;-0.21723;161;1;4.49340
4.49340;3.85129;1.40070;4.12389;1.78442;-0.21723;165;1;4.49340
4.49340;1.18568;3.06532;1.83492;4.10167;-0.21723;216;1;4.49340
4.49340;3.96024;1.92320;3.98611;2.07402;-0.21723;149;1;4.49340
4.49340;1.19916;2.54987;1.78613;4.12315;-0.21723;183;1;4.49340
4.49340;2.93763;2.85030;3.24090;3.11243;-0.21723;174;1;4.49340
4.49340;2.03792;2.88886;2.38211;3.81002;-0.21723;147;1;4.49340
4.49340;3.76608;1.81160;3.92927;2.17979;-0.21723;218;1;4.49340
4.49340;1.59776;1.72555;2.43336;3.77749;-0.21723;159;1;4.49340
4.49340;1.02620;2.18752;1.59034;4.20255;-0.21723;227;1;4.49340
4.49340;2.18440;3.55456;2.46413;3.75748;-0.21723;295;1;4.49340
4.49340;1.39619;3.44173;1.61975;4.19131;-0.21723;213;1;4.49340
4.49340;1.91128;3.10234;2.30402;3.85774;-0.21723;255;1;4.49340
4.49340;4.22458;1.33311;4.21532;1.55620;-0.21723;235;1;4.49340
4.49340;1.43125;3.48221;1.80439;4.11519;-0.21723;152;1;4.49340
4.49340;1.86308;2.55330;2.61231;3.65602;-0.21723;237;1;4.49340
4.49340;3.00756;1.28917;4.23703;1.49607;-0.21723;227;1;4.49340
4.49340;1.90945;2.33937;2.50960;3.72728;-0.21723;217;1;4.49340
4.49340;1.13787;4.31440;1.26226;4.31246;-0.21723;156;1;4.49340
4.49340;2.01926;1.37154;4.17885;1.65163;-0.21723;171;1;4.49340
4.49340;1.16121;1.88095;1.80812;4.11356;-0.21723;219;1;4.49340
4.49340;3.22154;2.04057;3.65151;2.61861;-0.21723;308;1;4.49340
4.49340;1.55609;3.59788;1.71577;4.15292;-0.21723;230;1;4.49340
4.49340;1.41176;1.34013;4.00376;2.03975;-0.21723;152;1;4.49340
