Metoda;k1_start;k2_start;k1_opt;k2_opt;Q_min;f_calls
HJ;10.000000;10.000000;3.005859;10.839844;373,656;143
Rosenbrock;10.000000;10.000000;3.006239;10.839984;373,656;143
