Nr iteracji,Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,0.05,,0.25,,M. zk.,,0.05,,0.25,,M. zk.,,0.05,,0.25,,M. zk.,
,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*,x1*,x2*
35,0.0395129,-0.0935867,,,,,2.29333e-06,-1.56872e-05,,,,,1.02536,-0.703233,1.07055,-0.535322,,
36,0.0363026,-0.0862037,,,,,2.68037e-06,-1.11658e-05,,,,,1.02766,-0.694858,1.07054,-0.535309,,
37,0.0333623,-0.0793985,,,,,2.87095e-06,-8.21627e-06,,,,,1.02985,-0.686898,1.07054,-0.5353,,
38,0.0306676,-0.0731267,,,,,2.80357e-06,-6.05267e-06,,,,,1.03192,-0.679334,1.07054,-0.535292,,
39,0.0281964,-0.0673474,,,,,2.5063e-06,-4.32935e-06,,,,,1.03388,-0.672146,1.07054,-0.535287,,
40,0.0259292,-0.0620225,,,,,2.03685e-06,-2.95125e-06,,,,,1.03574,-0.665316,1.07054,-0.535283,,
41,0.0238482,-0.0571167,,,,,1.49694e-06,-1.93569e-06,,,,,1.0375,-0.658826,1.07054,-0.53528,,
42,0.0219372,-0.0525975,,,,,1.0104e-06,-1.28291e-06,,,,,1.03918,-0.652659,1.07054,-0.535278,,
43,0.0201819,-0.0484346,,,,,,,,,,,1.04076,-0.646799,1.07054,-0.535276,,
44,0.018569,-0.0446002,,,,,,,,,,,1.04227,-0.641231,1.07054,-0.535275,,
45,0.0170865,-0.0410686,,,,,,,,,,,1.0437,-0.635941,1.07054,-0.535274,,
46,0.0157237,-0.0378161,,,,,,,,,,,1.04505,-0.630914,,,,
47,0.0144706,-0.0348207,,,,,,,,,,,1.04634,-0.626138,,,,
48,0.0133181,-0.0320621,,,,,,,,,,,1.04756,-0.6216,,,,
49,0.0122581,-0.0295218,,,,,,,,,,,1.04872,-0.617288,,,,
50,0.011283,-0.0271826,,,,,,,,,,,1.04982,-0.613192,,,,
51,0.0103858,-0.0250284,,,,,,,,,,,1.05086,-0.609299,,,,
52,0.0095603,-0.0230449,,,,,,,,,,,1.05185,-0.605601,,,,
53,0.00880067,-0.0212184,,,,,,,,,,,1.05279,-0.602088,,,,
54,0.0081016,-0.0195366,,,,,,,,,,,1.05369,-0.59875,,,,
55,0.00745822,-0.017988,,,,,,,,,,,1.05453,-0.595578,,,,
56,0.00686606,-0.0165621,,,,,,,,,,,1.05534,-0.592565,,,,
57,0.00632103,-0.0152492,,,,,,,,,,,1.0561,-0.589702,,,,
58,0.00581934,-0.0140404,,,,,,,,,,,1.05683,-0.586982,,,,
59,0.00535753,-0.0129273,,,,,,,,,,,1.05752,-0.584398,,,,
60,0.00493242,-0.0119024,,,,,,,,,,,1.05817,-0.581943,,,,
61,0.00454108,-0.0109588,,,,,,,,,,,1.05879,-0.579611,,,,
62,0.00418083,-0.01009,,,,,,,,,,,1.05938,-0.577395,,,,
63,0.00384918,-0.00929003,,,,,,,,,,,1.05994,-0.57529,,,,
64,0.00354385,-0.00855348,,,,,,,,,,,1.06047,-0.57329,,,,
65,0.00326277,-0.00787533,,,,,,,,,,,1.06098,-0.57139,,,,
66,0.00300399,-0.00725093,,,,,,,,,,,1.06146,-0.569584,,,,
67,0.00276574,-0.00667604,,,,,,,,,,,1.06191,-0.567869,,,,
68,0.0025464,-0.00614672,,,,,,,,,,,1.06235,-0.56624,,,,
69,0.00234446,-0.00565937,,,,,,,,,,,1.06276,-0.564692,,,,
70,0.00215854,-0.00521066,,,,,,,,,,,1.06315,-0.563222,,,,
71,0.00198737,-0.00479752,,,,,,,,,,,1.06352,-0.561824,,,,
72,0.00182977,-0.00441713,,,,,,,,,,,1.06387,-0.560497,,,,
73,0.00168467,-0.00406691,,,,,,,,,,,1.0642,-0.559236,,,,
74,0.00155109,-0.00374445,,,,,,,,,,,1.06452,-0.558038,,,,
75,0.00142809,-0.00344756,,,,,,,,,,,1.06482,-0.5569,,,,
76,0.00131485,-0.00317421,,,,,,,,,,,1.06511,-0.555819,,,,
77,0.00121059,-0.00292253,,,,,,,,,,,1.06538,-0.554792,,,,
78,0.0011146,-0.00269081,,,,,,,,,,,1.06564,-0.553816,,,,
79,0.00102622,-0.00247746,,,,,,,,,,,1.06589,-0.552889,,,,
80,0.00094485,-0.00228102,,,,,,,,,,,1.06612,-0.552008,,,,
81,0.000869932,-0.00210016,,,,,,,,,,,1.06634,-0.551171,,,,
82,0.000800954,-0.00193364,,,,,,,,,,,1.06655,-0.550377,,,,
83,0.000737445,-0.00178033,,,,,,,,,,,1.06675,-0.549621,,,,
84,0.000678972,-0.00163917,,,,,,,,,,,1.06694,-0.548904,,,,
85,0.000625136,-0.0015092,,,,,,,,,,,1.06712,-0.548222,,,,
86,0.000575569,-0.00138953,,,,,,,,,,,1.06729,-0.547575,,,,
87,0.000529932,-0.00127936,,,,,,,,,,,1.06745,-0.54696,,,,
88,0.000487914,-0.00117792,,,,,,,,,,,1.06761,-0.546375,,,,
89,0.000449227,-0.00108452,,,,,,,,,,,1.06776,-0.54582,,,,
90,0.000413608,-0.000998533,,,,,,,,,,,1.0679,-0.545293,,,,
91,0.000380813,-0.00091936,,,,,,,,,,,1.06803,-0.544792,,,,
92,0.000350618,-0.000846465,,,,,,,,,,,1.06815,-0.544316,,,,
93,0.000322818,-0.000779349,,,,,,,,,,,1.06827,-0.543864,,,,
94,0.000297222,-0.000717555,,,,,,,,,,,1.06839,-0.543434,,,,
95,0.000273655,-0.000660661,,,,,,,,,,,1.06849,-0.543026,,,,
96,0.000251957,-0.000608277,,,,,,,,,,,1.0686,-0.542638,,,,
97,0.00023198,-0.000560048,,,,,,,,,,,1.06869,-0.54227,,,,
98,0.000213586,-0.000515642,,,,,,,,,,,1.06879,-0.54192,,,,
99,0.000196651,-0.000474757,,,,,,,,,,,1.06887,-0.541588,,,,
100,0.000181059,-0.000437114,,,,,,,,,,,1.06896,-0.541272,,,,
101,0.000166703,-0.000402455,,,,,,,,,,,1.06904,-0.540972,,,,
102,0.000153485,-0.000370545,,,,,,,,,,,1.06911,-0.540687,,,,
103,0.000141315,-0.000341165,,,,,,,,,,,1.06918,-0.540416,,,,
104,0.00013011,-0.000314114,,,,,,,,,,,1.06925,-0.540159,,,,
105,0.000119794,-0.000289208,,,,,,,,,,,1.06932,-0.539914,,,,
106,0.000110296,-0.000266277,,,,,,,,,,,1.06938,-0.539682,,,,
107,0.00010155,-0.000245164,,,,,,,,,,,1.06944,-0.539462,,,,
108,9.34985e-05,-0.000225725,,,,,,,,,,,1.06949,-0.539252,,,,
109,8.6085e-05,-0.000207828,,,,,,,,,,,1.06954,-0.539053,,,,
110,7.92594e-05,-0.000191349,,,,,,,,,,,1.06959,-0.538864,,,,
111,7.2975e-05,-0.000176177,,,,,,,,,,,1.06964,-0.538684,,,,
112,6.71888e-05,-0.000162208,,,,,,,,,,,1.06969,-0.538514,,,,
113,6.18615e-05,-0.000149347,,,,,,,,,,,1.06973,-0.538352,,,,
114,5.69565e-05,-0.000137505,,,,,,,,,,,1.06977,-0.538198,,,,
115,5.24405e-05,-0.000126602,,,,,,,,,,,1.06981,-0.538051,,,,
116,4.82825e-05,-0.000116564,,,,,,,,,,,1.06985,-0.537912,,,,
117,4.44542e-05,-0.000107322,,,,,,,,,,,1.06988,-0.53778,,,,
118,4.09295e-05,-9.88125e-05,,,,,,,,,,,1.06991,-0.537655,,,,
119,3.76842e-05,-9.09777e-05,,,,,,,,,,,1.06994,-0.537536,,,,
120,3.46962e-05,-8.37641e-05,,,,,,,,,,,1.06997,-0.537422,,,,
121,3.19452e-05,-7.71225e-05,,,,,,,,,,,1.07,-0.537315,,,,
122,2.94123e-05,-7.10075e-05,,,,,,,,,,,1.07003,-0.537213,,,,
123,2.70802e-05,-6.53774e-05,,,,,,,,,,,1.07006,-0.537116,,,,
124,2.4933e-05,-6.01937e-05,,,,,,,,,,,1.07008,-0.537023,,,,
125,2.29561e-05,-5.5421e-05,,,,,,,,,,,1.0701,-0.536936,,,,
126,2.11359e-05,-5.10267e-05,,,,,,,,,,,1.07012,-0.536853,,,,
127,1.94601e-05,-4.69808e-05,,,,,,,,,,,1.07015,-0.536773,,,,
128,1.79171e-05,-4.32557e-05,,,,,,,,,,,1.07017,-0.536698,,,,
129,1.64965e-05,-3.9826e-05,,,,,,,,,,,1.07018,-0.536627,,,,
130,1.51885e-05,-3.66682e-05,,,,,,,,,,,1.0702,-0.536559,,,,
131,1.39842e-05,-3.37608e-05,,,,,,,,,,,1.07022,-0.536495,,,,
132,1.28754e-05,-3.1084e-05,,,,,,,,,,,1.07024,-0.536434,,,,
133,1.18545e-05,-2.86193e-05,,,,,,,,,,,1.07025,-0.536375,,,,
134,1.09146e-05,-2.63501e-05,,,,,,,,,,,1.07027,-0.53632,,,,
135,1.00492e-05,-2.42608e-05,,,,,,,,,,,1.07028,-0.536268,,,,
136,9.25238e-06,-2.23372e-05,,,,,,,,,,,1.07029,-0.536218,,,,
137,8.51876e-06,-2.05661e-05,,,,,,,,,,,1.0703,-0.536171,,,,
138,7.84332e-06,-1.89354e-05,,,,,,,,,,,1.07032,-0.536126,,,,
139,7.22142e-06,-1.74341e-05,,,,,,,,,,,1.07033,-0.536083,,,,
140,6.64884e-06,-1.60517e-05,,,,,,,,,,,1.07034,-0.536042,,,,
141,6.12166e-06,-1.4779e-05,,,,,,,,,,,1.07035,-0.536004,,,,
142,5.63628e-06,-1.36072e-05,,,,,,,,,,,1.07036,-0.535967,,,,
143,5.18938e-06,-1.25283e-05,,,,,,,,,,,1.07037,-0.535932,,,,
144,4.77792e-06,-1.15349e-05,,,,,,,,,,,1.07038,-0.535899,,,,
145,4.39908e-06,-1.06203e-05,,,,,,,,,,,1.07038,-0.535868,,,,
146,,,,,,,,,,,,,1.07039,-0.535838,,,,
147,,,,,,,,,,,,,1.0704,-0.53581,,,,
148,,,,,,,,,,,,,1.07041,-0.535783,,,,
149,,,,,,,,,,,,,1.07041,-0.535757,,,,
150,,,,,,,,,,,,,1.07042,-0.535733,,,,
151,,,,,,,,,,,,,1.07043,-0.53571,,,,
152,,,,,,,,,,,,,1.07043,-0.535688,,,,
153,,,,,,,,,,,,,1.07044,-0.535667,,,,
154,,,,,,,,,,,,,1.07044,-0.535647,,,,
155,,,,,,,,,,,,,1.07045,-0.535628,,,,
156,,,,,,,,,,,,,1.07045,-0.535611,,,,
157,,,,,,,,,,,,,1.07046,-0.535594,,,,
158,,,,,,,,,,,,,1.07046,-0.535577,,,,
159,,,,,,,,,,,,,1.07047,-0.535562,,,,
160,,,,,,,,,,,,,1.07047,-0.535548,,,,
161,,,,,,,,,,,,,1.07047,-0.535534,,,,
162,,,,,,,,,,,,,1.07048,-0.535521,,,,
163,,,,,,,,,,,,,1.07048,-0.535508,,,,
