0;0;0
0,1;0,002175;0,043129
0,2;0,008551;0,084015
0,3;0,018905;0,122714
0,4;0,033023;0,159284
0,5;0,050693;0,193783
0,6;0,071712;0,226268
0,7;0,095882;0,256797
0,8;0,123008;0,285427
0,9;0,152906;0,312215
1;0,185392;0,337217
1,1;0,220291;0,360489
1,2;0,257434;0,382088
1,3;0,296655;0,402068
1,4;0,337795;0,420484
1,5;0,380701;0,43739
1,6;0,425225;0,452838
1,7;0,471222;0,466883
1,8;0,518556;0,479575
1,9;0,567094;0,490965
2;0,616708;0,501105
2,1;0,667275;0,510043
2,2;0,718678;0,517827
2,3;0,770803;0,524507
2,4;0,823544;0,530128
2,5;0,876795;0,534736
2,6;0,930459;0,538377
2,7;0,98444;0,541094
2,8;1,038648;0,54293
2,9;1,092998;0,543928
3;1,147407;0,544129
3,1;1,201798;0,543572
3,2;1,256098;0,542297
3,3;1,310235;0,540343
3,4;1,364145;0,537745
3,5;1,417764;0,534541
3,6;1,471034;0,530765
3,7;1,523899;0,526451
3,8;1,576307;0,521633
3,9;1,62821;0,516343
4;1,679561;0,510612
4,1;1,730319;0,504471
4,2;1,780443;0,497948
4,3;1,829897;0,491071
4,4;1,878646;0,483869
4,5;1,92666;0,476367
4,6;1,97391;0,468591
4,7;2,02037;0,460565
4,8;2,066016;0,452314
4,9;2,110826;0,44386
5;2,154782;0,435224
5,1;2,197866;0,426429
5,2;2,240063;0,417493
5,3;2,28136;0,408437
5,4;2,321747;0,399279
5,5;2,361213;0,390037
5,6;2,399752;0,380727
5,7;2,437357;0,371366
5,8;2,474024;0,361969
5,9;2,50975;0,352552
6;2,544534;0,343127
6,1;2,578376;0,333709
6,2;2,611277;0,324309
6,3;2,643239;0,314941
6,4;2,674266;0,305614
6,5;2,704363;0,296341
6,6;2,733536;0,28713
6,7;2,761792;0,277992
6,8;2,789138;0,268935
6,9;2,815582;0,259967
7;2,841134;0,251097
7,1;2,865805;0,242331
7,2;2,889604;0,233677
7,3;2,912544;0,22514
7,4;2,934636;0,216727
7,5;2,955894;0,208442
7,6;2,976329;0,20029
7,7;2,995956;0,192277
7,8;3,014789;0,184405
7,9;3,032842;0,17668
8;3,05013;0,169102
8,1;3,066668;0,161677
8,2;3,082471;0,154405
8,3;3,097554;0,14729
8,4;3,111934;0,140334
8,5;3,125626;0,133536
8,6;3,138647;0,1269
8,7;3,151012;0,120426
8,8;3,162737;0,114115
8,9;3,17384;0,107966
9;3,184336;0,101981
9,1;3,194242;0,096158
9,2;3,203573;0,090499
9,3;3,212347;0,085002
9,4;3,220579;0,079667
9,5;3,228286;0,074493
9,6;3,235483;0,069479
9,7;3,242187;0,064623
9,8;3,248413;0,059924
9,9;3,254177;0,055382
10;3,259494;0,050993
10,1;3,26438;0,046756
10,2;3,26885;0,04267
10,3;3,272919;0,038733
10,4;3,276602;0,034941
10,5;3,279912;0,031294
10,6;3,282865;0,027789
10,7;3,285475;0,024423
10,8;3,287754;0,021194
10,9;3,289718;0,018099
11;3,291379;0,015136
11,1;3,29275;0,012303
11,2;3,293843;0,009596
11,3;3,294673;0,007013
11,4;3,29525;0,004552
11,5;3,295587;0,002209
11,6;3,295696;-0,000019
11,7;3,295587;-0,002134
