t;VA_Fibonacci;VA_Lagrange;VB_Fibonacci;VB_Lagrange;TB_Fibonacci;TB_Lagrange
79; 4,33576; 4,33575; 1,55594; 1,55594; 43,2449; 43,245; 
80; 4,32765; 4,32765; 1,56156; 1,56156; 43,3642; 43,3643; 
81; 4,31955; 4,31955; 1,56715; 1,56715; 43,4814; 43,4815; 
82; 4,31146; 4,31146; 1,57271; 1,57271; 43,5967; 43,5967; 
83; 4,30338; 4,30338; 1,57824; 1,57824; 43,7099; 43,71; 
84; 4,29531; 4,2953; 1,58374; 1,58374; 43,8213; 43,8213; 
85; 4,28724; 4,28724; 1,58921; 1,58921; 43,9308; 43,9308; 
86; 4,27918; 4,27918; 1,59465; 1,59465; 44,0384; 44,0384; 
87; 4,27113; 4,27113; 1,60006; 1,60007; 44,1442; 44,1442; 
88; 4,26308; 4,26308; 1,60545; 1,60545; 44,2482; 44,2482; 
89; 4,25505; 4,25505; 1,6108; 1,61081; 44,3504; 44,3505; 
90; 4,24702; 4,24702; 1,61613; 1,61613; 44,451; 44,4511; 
91; 4,239; 4,239; 1,62143; 1,62143; 44,5499; 44,5499; 
92; 4,23098; 4,23098; 1,6267; 1,6267; 44,6471; 44,6472; 
93; 4,22298; 4,22297; 1,63194; 1,63194; 44,7428; 44,7428; 
94; 4,21498; 4,21498; 1,63715; 1,63716; 44,8368; 44,8369; 
95; 4,20699; 4,20699; 1,64234; 1,64234; 44,9293; 44,9293; 
96; 4,199; 4,199; 1,6475; 1,6475; 45,0203; 45,0203; 
97; 4,19103; 4,19103; 1,65263; 1,65263; 45,1097; 45,1098; 
98; 4,18306; 4,18306; 1,65773; 1,65773; 45,1977; 45,1978; 
99; 4,1751; 4,1751; 1,66281; 1,66281; 45,2843; 45,2843; 
100; 4,16715; 4,16714; 1,66786; 1,66786; 45,3694; 45,3695; 
101; 4,1592; 4,1592; 1,67288; 1,67288; 45,4532; 45,4532; 
102; 4,15126; 4,15126; 1,67787; 1,67787; 45,5356; 45,5356; 
103; 4,14333; 4,14333; 1,68284; 1,68284; 45,6166; 45,6167; 
104; 4,13541; 4,13541; 1,68778; 1,68778; 45,6963; 45,6964; 
105; 4,12749; 4,12749; 1,6927; 1,6927; 45,7748; 45,7748; 
106; 4,11959; 4,11958; 1,69758; 1,69759; 45,852; 45,852; 
107; 4,11169; 4,11168; 1,70244; 1,70245; 45,9279; 45,9279; 
108; 4,10379; 4,10379; 1,70728; 1,70728; 46,0026; 46,0026; 
109; 4,09591; 4,09591; 1,71209; 1,71209; 46,0761; 46,0761; 
110; 4,08803; 4,08803; 1,71687; 1,71688; 46,1484; 46,1485; 
111; 4,08016; 4,08016; 1,72163; 1,72163; 46,2196; 46,2196; 
112; 4,0723; 4,0723; 1,72636; 1,72637; 46,2896; 46,2896; 
113; 4,06444; 4,06444; 1,73107; 1,73107; 46,3585; 46,3585; 
114; 4,0566; 4,05659; 1,73575; 1,73575; 46,4262; 46,4263; 
115; 4,04876; 4,04875; 1,74041; 1,74041; 46,493; 46,493; 
116; 4,04093; 4,04092; 1,74504; 1,74504; 46,5586; 46,5586; 
117; 4,0331; 4,0331; 1,74964; 1,74965; 46,6232; 46,6232; 
118; 4,02528; 4,02528; 1,75422; 1,75423; 46,6867; 46,6868; 
119; 4,01748; 4,01747; 1,75878; 1,75878; 46,7493; 46,7493; 
120; 4,00967; 4,00967; 1,76331; 1,76331; 46,8108; 46,8109; 
121; 4,00188; 4,00188; 1,76782; 1,76782; 46,8714; 46,8715; 
122; 3,99409; 3,99409; 1,7723; 1,7723; 46,931; 46,9311; 
123; 3,98631; 3,98631; 1,77676; 1,77676; 46,9897; 46,9897; 
124; 3,97854; 3,97854; 1,78119; 1,78119; 47,0474; 47,0474; 
125; 3,97078; 3,97078; 1,7856; 1,7856; 47,1042; 47,1042; 
126; 3,96302; 3,96302; 1,78999; 1,78999; 47,1601; 47,1601; 
127; 3,95528; 3,95527; 1,79435; 1,79435; 47,2151; 47,2152; 
128; 3,94753; 3,94753; 1,79868; 1,79869; 47,2692; 47,2693; 
129; 3,9398; 3,9398; 1,803; 1,803; 47,3225; 47,3226; 
130; 3,93208; 3,93207; 1,80729; 1,80729; 47,375; 47,375; 
131; 3,92436; 3,92435; 1,81155; 1,81156; 47,4266; 47,4266; 
132; 3,91665; 3,91664; 1,8158; 1,8158; 47,4774; 47,4774; 
133; 3,90894; 3,90894; 1,82002; 1,82002; 47,5273; 47,5274; 
134; 3,90125; 3,90124; 1,82421; 1,82422; 47,5765; 47,5766; 
135; 3,89356; 3,89356; 1,82839; 1,82839; 47,6249; 47,625; 
136; 3,88588; 3,88588; 1,83254; 1,83254; 47,6725; 47,6726; 
137; 3,87821; 3,8782; 1,83667; 1,83667; 47,7194; 47,7195; 
138; 3,87054; 3,87054; 1,84077; 1,84078; 47,7655; 47,7656; 
139; 3,86288; 3,86288; 1,84485; 1,84486; 47,8109; 47,811; 
140; 3,85523; 3,85523; 1,84891; 1,84892; 47,8556; 47,8556; 
141; 3,84759; 3,84759; 1,85295; 1,85296; 47,8995; 47,8996; 
142; 3,83996; 3,83995; 1,85697; 1,85697; 47,9428; 47,9428; 
143; 3,83233; 3,83233; 1,86096; 1,86096; 47,9853; 47,9854; 
144; 3,82471; 3,82471; 1,86493; 1,86493; 48,0272; 48,0273; 
145; 3,8171; 3,81709; 1,86888; 1,86888; 48,0684; 48,0685; 
146; 3,80949; 3,80949; 1,87281; 1,87281; 48,109; 48,109; 
147; 3,8019; 3,80189; 1,87671; 1,87671; 48,1488; 48,1489; 
148; 3,79431; 3,7943; 1,88059; 1,8806; 48,1881; 48,1881; 
149; 3,78673; 3,78672; 1,88445; 1,88446; 48,2267; 48,2268; 
150; 3,77915; 3,77915; 1,88829; 1,8883; 48,2647; 48,2647; 
151; 3,77159; 3,77158; 1,89211; 1,89212; 48,3021; 48,3021; 
152; 3,76403; 3,76402; 1,89591; 1,89591; 48,3388; 48,3389; 
153; 3,75648; 3,75647; 1,89968; 1,89969; 48,375; 48,3751; 
154; 3,74893; 3,74893; 1,90344; 1,90344; 48,4106; 48,4106; 
155; 3,7414; 3,74139; 1,90717; 1,90717; 48,4456; 48,4457; 
156; 3,73387; 3,73386; 1,91088; 1,91089; 48,48; 48,4801; 
157; 3,72635; 3,72634; 1,91457; 1,91458; 48,5139; 48,514; 
158; 3,71883; 3,71883; 1,91824; 1,91825; 48,5472; 48,5473; 
159; 3,71133; 3,71132; 1,92189; 1,9219; 48,58; 48,58; 
160; 3,70383; 3,70382; 1,92552; 1,92552; 48,6122; 48,6123; 
161; 3,69634; 3,69633; 1,92913; 1,92913; 48,6439; 48,6439; 
162; 3,68885; 3,68885; 1,93272; 1,93272; 48,6751; 48,6751; 
163; 3,68138; 3,68137; 1,93628; 1,93629; 48,7057; 48,7058; 
164; 3,67391; 3,67391; 1,93983; 1,93983; 48,7358; 48,7359; 
165; 3,66645; 3,66645; 1,94336; 1,94336; 48,7655; 48,7655; 
166; 3,659; 3,65899; 1,94686; 1,94687; 48,7946; 48,7946; 
167; 3,65155; 3,65155; 1,95035; 1,95035; 48,8232; 48,8233; 
168; 3,64412; 3,64411; 1,95381; 1,95382; 48,8514; 48,8514; 
169; 3,63669; 3,63668; 1,95726; 1,95726; 48,8791; 48,8791; 
170; 3,62926; 3,62926; 1,96069; 1,96069; 48,9063; 48,9063; 
171; 3,62185; 3,62184; 1,96409; 1,9641; 48,933; 48,9331; 
172; 3,61444; 3,61444; 1,96748; 1,96748; 48,9593; 48,9594; 
173; 3,60704; 3,60704; 1,97085; 1,97085; 48,9851; 48,9852; 
174; 3,59965; 3,59964; 1,97419; 1,9742; 49,0105; 49,0106; 
175; 3,59226; 3,59226; 1,97752; 1,97753; 49,0355; 49,0355; 
176; 3,58489; 3,58488; 1,98083; 1,98083; 49,06; 49,06; 
177; 3,57752; 3,57751; 1,98412; 1,98412; 49,0841; 49,0841; 
178; 3,57016; 3,57015; 1,98739; 1,98739; 49,1077; 49,1078; 
179; 3,5628; 3,5628; 1,99064; 1,99064; 49,131; 49,131; 
180; 3,55546; 3,55545; 1,99387; 1,99388; 49,1538; 49,1538; 
181; 3,54812; 3,54811; 1,99709; 1,99709; 49,1762; 49,1763; 
182; 3,54078; 3,54078; 2,00028; 2,00028; 49,1982; 49,1983; 
183; 3,53346; 3,53346; 2,00346; 2,00346; 49,2198; 49,2199; 
184; 3,52614; 3,52614; 2,00661; 2,00662; 49,2411; 49,2411; 
185; 3,51884; 3,51883; 2,00975; 2,00975; 49,2619; 49,262; 
186; 3,51153; 3,51153; 2,01287; 2,01287; 49,2824; 49,2824; 
187; 3,50424; 3,50424; 2,01597; 2,01597; 49,3024; 49,3025; 
188; 3,49696; 3,49695; 2,01905; 2,01905; 49,3221; 49,3222; 
189; 3,48968; 3,48967; 2,02211; 2,02212; 49,3415; 49,3415; 
190; 3,48241; 3,4824; 2,02516; 2,02516; 49,3605; 49,3605; 
191; 3,47514; 3,47514; 2,02819; 2,02819; 49,3791; 49,3791; 
192; 3,46789; 3,46788; 2,0312; 2,0312; 49,3973; 49,3974; 
193; 3,46064; 3,46063; 2,03419; 2,03419; 49,4152; 49,4153; 
194; 3,4534; 3,45339; 2,03716; 2,03716; 49,4328; 49,4329; 
195; 3,44617; 3,44616; 2,04011; 2,04012; 49,45; 49,4501; 
196; 3,43894; 3,43894; 2,04305; 2,04306; 49,4669; 49,467; 
197; 3,43172; 3,43172; 2,04597; 2,04597; 49,4835; 49,4835; 
198; 3,42451; 3,42451; 2,04887; 2,04888; 49,4997; 49,4997; 
199; 3,41731; 3,4173; 2,05176; 2,05176; 49,5156; 49,5156; 
200; 3,41011; 3,41011; 2,05462; 2,05463; 49,5311; 49,5312; 
201; 3,40293; 3,40292; 2,05747; 2,05747; 49,5464; 49,5464; 
202; 3,39575; 3,39574; 2,0603; 2,0603; 49,5613; 49,5614; 
203; 3,38858; 3,38857; 2,06311; 2,06312; 49,576; 49,576; 
204; 3,38141; 3,38141; 2,06591; 2,06591; 49,5903; 49,5903; 
