Dlugosc kroku,Lp.,x1(0),x2(0),Metoda najszybszego spadku,,,,,,Metoda gradientow sprzezonych,,,,,,Metoda Newtona,,,,,,
,,,,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,MinGlob,x1*,x2*,y*,f_calls,g_calls,H_calls,MinGlob
,36,1.56643,0.690357,1.53739,-0.852199,0.478106,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.74755,-0.873773,0.298638,47,46,46,NIE
,37,-1.12562,-0.847082,-0.000559644,0.0013511,1.69574e-06,14,13,TAK,-2.77233e-05,-0.00036541,1.45192e-07,18,18,TAK,-1.07054,0.535269,0.877362,47,46,46,NIE
,38,0.750978,-0.718062,0.000469901,-0.00113444,1.1955e-06,15,14,TAK,0.000106765,-0.000370064,1.20235e-07,9,8,TAK,1.07054,-0.535273,0.877362,42,41,41,NIE
,39,-0.368966,1.46301,-0.000539394,0.00130221,1.57524e-06,15,14,TAK,-3.73451e-05,0.000240697,5.17355e-08,10,9,TAK,-4.85557e-07,2.53116e-06,5.64929e-12,47,46,46,TAK
,40,1.3699,0.4855,1.74756,-0.872773,0.298639,4580,4579,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535269,0.877362,46,45,45,NIE
,41,-1.69968,0.0875137,-1.85706,0.811663,0.396861,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,45,44,44,NIE
,42,-1.88378,-0.550375,-0.000529169,0.00127753,1.51608e-06,16,15,TAK,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,47,46,46,NIE
,43,0.893113,1.57765,-0.000392054,0.000946501,8.32196e-07,14,13,TAK,0.000523703,-0.00038206,4.94414e-07,10,9,TAK,1.07054,-0.535268,0.877362,48,47,47,NIE
,44,-1.6039,-0.225313,-1.34452,0.871918,0.756687,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,46,45,45,NIE
,45,0.151174,1.28201,-0.000382607,0.000923695,7.92576e-07,15,14,TAK,-7.03522e-05,0.000289257,7.32188e-08,10,9,TAK,2.59258e-07,2.30027e-06,6.02204e-12,47,46,46,TAK
,46,-1.23034,1.45316,-1.85628,0.802875,0.397594,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.07054,0.535274,0.877362,45,44,44,NIE
,47,0.478719,-1.27145,0.000506684,-0.00122324,1.38998e-06,15,14,TAK,0.000171945,-0.000543088,2.60693e-07,9,9,TAK,3.84863e-07,-2.6555e-06,6.32592e-12,46,45,45,TAK
,48,0.796817,-0.0292689,0.000391692,-0.000945628,8.30662e-07,14,13,TAK,-0.000174708,0.000173807,6.08892e-08,13,12,TAK,1.07054,-0.535268,0.877362,43,42,42,NIE
,49,0.378477,-0.390969,0.000488309,-0.00117888,1.29099e-06,13,12,TAK,-0.000201915,0.00025265,9.43574e-08,8,7,TAK,1.53822e-06,-1.91026e-06,5.44293e-12,43,42,42,TAK
,50,-0.911316,-0.579368,-0.000509792,0.00123075,1.40709e-06,12,11,TAK,-0.000269689,0.000437949,2.19153e-07,10,9,TAK,-1.07054,0.535269,0.877362,46,45,45,NIE
,51,-0.79321,1.90862,-0.000424131,0.00102394,9.73945e-07,19,18,TAK,nan,nan,nan,10000,10000,NIE,-1.07054,0.535274,0.877362,47,46,46,NIE
,52,-0.491938,0.678404,-0.000497951,0.00120216,1.34248e-06,14,13,TAK,-0.000224161,0.000328082,1.34591e-07,9,8,TAK,-5.34118e-07,2.71327e-06,6.4832e-12,43,42,42,TAK
,53,0.132693,-1.33879,0.000441691,-0.00106633,1.05626e-06,15,14,TAK,4.04187e-05,-0.000250108,5.57122e-08,10,9,TAK,2.29848e-07,-2.39242e-06,5.27943e-12,47,46,46,TAK
,54,-1.56924,-1.65554,-1.82334,0.839323,0.342111,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,49,48,48,NIE
,55,1.46233,1.90725,0.000580895,-0.0014024,1.82696e-06,16,15,TAK,nan,nan,nan,10000,10000,NIE,1.07054,-0.535268,0.877362,49,48,48,NIE
,56,-0.220054,-0.709765,0.000510602,-0.0012327,1.41156e-06,13,12,TAK,0.000144635,-0.000465541,1.91233e-07,9,8,TAK,-6.37878e-07,-2.28961e-06,7.51658e-12,45,44,44,TAK
,57,1.83504,-1.32437,0.000570335,-0.00137691,1.76114e-06,20,19,TAK,nan,nan,nan,10000,10000,NIE,1.74755,-0.873779,0.298638,43,42,42,NIE
,58,-1.82514,-1.10647,-0.000373509,0.000901731,7.55332e-07,17,16,TAK,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,48,47,47,NIE
,59,-1.72004,-1.77173,-0.000449928,0.00108622,1.09602e-06,17,16,TAK,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,49,48,48,NIE
,60,-1.3995,-0.326814,-1.89135,0.821466,0.468532,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.07054,0.535268,0.877362,45,44,44,NIE
,61,-0.455936,1.06399,-0.000420432,0.00101501,9.57031e-07,15,14,TAK,-0.000101335,0.000202128,4.09106e-08,10,9,TAK,-5.34671e-07,2.26248e-06,4.48087e-12,46,45,45,TAK
,62,-1.65117,-0.960249,-1.39296,0.84607,0.682343,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,48,47,47,NIE
,63,-1.95656,1.51604,-1.40279,0.844247,0.668163,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873779,0.298638,45,44,44,NIE
,64,0.919041,-1.06819,0.000540386,-0.00130461,1.58104e-06,17,16,TAK,nan,nan,nan,10000,10000,NIE,1.07054,-0.535273,0.877362,44,43,43,NIE
,65,-1.05388,0.346733,-0.000556914,0.00134451,1.67923e-06,17,16,TAK,nan,nan,nan,10000,10000,NIE,-1.07054,0.535269,0.877362,40,39,39,NIE
,66,1.00496,-1.40431,1.81468,-0.807033,0.338248,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535274,0.877362,45,44,44,NIE
,67,0.301081,0.52953,-0.000530117,0.00127982,1.52152e-06,12,11,TAK,-8.99844e-05,0.000311036,8.49492e-08,9,8,TAK,1.06125e-06,2.35466e-06,1.02958e-11,44,43,43,TAK
,68,0.81181,-0.468981,0.000427627,-0.00103238,9.9007e-07,15,14,TAK,0.000130556,-0.000408959,1.47945e-07,21,20,TAK,1.07054,-0.535271,0.877362,40,39,39,NIE
,69,1.45159,-1.10165,1.73337,-0.789399,0.305754,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535274,0.877362,42,41,41,NIE
,70,-0.220444,1.88278,-0.000405904,0.000979939,8.92035e-07,16,15,TAK,0.000178376,-0.000313713,1.06093e-07,10,9,TAK,-2.69487e-07,2.51421e-06,5.78894e-12,48,47,47,TAK
,71,1.26672,-1.94047,1.87672,-0.806231,0.437732,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535274,0.877362,47,46,46,NIE
,72,-0.279989,-0.903867,0.000391778,-0.000945834,8.31025e-07,14,13,TAK,0.000191569,-0.0005778,2.96562e-07,9,8,TAK,-5.71e-07,-2.20565e-06,6.7764e-12,46,45,45,TAK
,73,-0.440515,0.42627,-0.000560121,0.00135225,1.69863e-06,13,12,TAK,-0.000155454,-0.000200699,1.19811e-07,9,9,TAK,-1.39383e-06,1.8623e-06,4.75795e-12,43,42,42,TAK
,74,-1.63588,-0.558425,-1.86455,0.802091,0.413359,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,47,46,46,NIE
,75,-1.37216,0.980124,-1.40784,0.865023,0.667361,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.07054,0.535273,0.877362,43,42,42,NIE
,76,-0.87943,1.74544,-1.52805,0.756068,0.48333,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.07054,0.535274,0.877362,46,45,45,NIE
,77,-1.69787,0.658384,-1.67503,0.764072,0.330873,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873773,0.298638,40,39,39,NIE
,78,0.70159,0.822506,-0.000425493,0.00102723,9.80212e-07,12,11,TAK,6.82535e-05,0.000293881,1.15741e-07,9,8,TAK,1.07054,-0.535269,0.877362,47,46,46,NIE
,79,-1.1105,-0.840174,-0.000498206,0.00120277,1.34385e-06,14,13,TAK,-0.000116029,0.000189572,4.0867e-08,17,16,TAK,-1.07054,0.535269,0.877362,47,46,46,NIE
,80,-1.52918,-0.343401,-1.68431,0.832717,0.319489,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873774,0.298638,46,45,45,NIE
,81,1.29227,-1.2192,1.4771,-0.858464,0.565234,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535274,0.877362,44,43,43,NIE
,82,-1.87634,1.09596,-1.61564,0.842675,0.379182,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873778,0.298638,42,41,41,NIE
,83,1.539,0.263678,1.83966,-0.798323,0.371483,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.74755,-0.873774,0.298638,46,45,45,NIE
,84,-1.54644,1.71847,-0.000548255,0.0013236,1.62742e-06,16,15,TAK,nan,nan,nan,10000,10000,NIE,-1.74755,0.873779,0.298638,45,44,44,NIE
,85,-0.497264,1.53482,-0.000377934,0.000912413,7.73334e-07,16,15,TAK,-1.90752e-05,0.000172846,2.73063e-08,10,9,TAK,-1.01883e-07,2.35304e-06,5.31783e-12,47,46,46,TAK
,86,0.467759,1.77435,-0.000479322,0.00115719,1.24391e-06,15,14,TAK,-7.32079e-05,0.000360217,1.14104e-07,10,9,TAK,2.65004e-07,2.56332e-06,7.39037e-12,48,47,47,TAK
,87,-1.68696,-0.0709079,-1.83876,0.754283,0.382765,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,-1.74755,0.873773,0.298638,45,44,44,NIE
,88,-0.211338,1.04866,-0.000354964,0.000856958,6.82187e-07,15,14,TAK,-0.000129011,0.000523861,2.40134e-07,9,8,TAK,-4.62978e-07,2.48191e-06,5.4395e-12,46,45,45,TAK
,89,-0.691516,-1.57425,0.000542413,-0.0013095,1.59292e-06,14,13,TAK,9.16764e-05,-0.000432323,1.64078e-07,9,9,TAK,-1.07054,0.535268,0.877362,48,47,47,NIE
,90,0.691321,0.566297,-0.000395704,0.000955264,8.47691e-07,9,8,TAK,0.000310951,-0.000170408,1.69431e-07,9,8,TAK,1.07054,-0.535269,0.877362,46,45,45,NIE
,91,1.40768,-1.20732,1.24639,-0.886232,0.878646,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535274,0.877362,44,43,43,NIE
,92,-0.931998,-0.381024,-0.000575739,0.00138995,1.79467e-06,13,12,TAK,-0.000180658,0.000334709,1.16837e-07,10,9,TAK,-1.07054,0.535268,0.877362,45,44,44,NIE
,93,0.707788,1.335,-0.000409737,0.000989192,9.08961e-07,14,13,TAK,-3.5016e-05,0.000375315,1.30172e-07,9,9,TAK,1.07054,-0.535269,0.877362,48,47,47,NIE
,94,1.515,0.68774,1.87037,-0.77606,0.432761,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.74755,-0.873774,0.298638,47,46,46,NIE
,95,0.421671,1.22085,-0.000506912,0.00122379,1.39123e-06,14,13,TAK,-7.21264e-05,0.000269352,6.35277e-08,10,9,TAK,4.68801e-07,2.3281e-06,6.95103e-12,47,46,46,TAK
,96,0.939079,-1.11074,0.000494202,-0.00119311,1.32234e-06,18,17,TAK,nan,nan,nan,10000,10000,NIE,1.07054,-0.535274,0.877362,44,43,43,NIE
,97,-0.146072,-0.569221,0.00042177,-0.00101824,9.63132e-07,13,12,TAK,0.000115562,-0.000379467,1.26853e-07,9,8,TAK,-5.95519e-07,-2.42709e-06,8.04545e-12,44,43,43,TAK
,98,-1.13777,-1.85284,0.00055318,-0.00133549,1.65679e-06,12,11,TAK,-0.000280452,0.000318482,1.69418e-07,10,9,TAK,-1.07054,0.535269,0.877362,49,48,48,NIE
,99,1.38915,-0.0125949,1.84806,-0.80481,0.383012,10000,9999,NIE,nan,nan,nan,10000,10000,NIE,1.07054,-0.535269,0.877362,44,43,43,NIE
,100,0.294704,-1.97254,0.000444556,-0.00107325,1.07001e-06,16,15,TAK,1.29456e-05,-6.01337e-05,3.17277e-09,10,9,TAK,3.31609e-07,-2.61593e-06,6.19553e-12,48,47,47,TAK
M. zk.,1,0.620979,-1.45783,8.1749e-05,-0.000301404,7.95708e-08,297,8,TAK,0.000223447,-0.000509799,2.45839e-07,186,6,TAK,1.74755,-0.873776,0.298638,149,5,4,NIE
,2,1.08524,-1.82212,1.74756,-0.871957,0.298642,519,14,NIE,1.74752,-0.87291,0.298639,297,8,NIE,1.07059,-0.535297,0.877362,75,2,2,NIE
,3,0.634147,1.56985,-0.000179424,0.000274125,9.03458e-08,334,9,TAK,-0.000168067,0.000196578,6.20975e-08,186,6,TAK,1.74755,-0.873776,0.298638,186,5,5,NIE
,4,-0.832364,1.50573,2.57629e-05,0.00033803,1.243e-07,408,11,TAK,0.000136824,-0.00135643,1.69175e-06,519,14,TAK,-1.14716,0.573578,0.86441,75,2,2,NIE
,5,-0.124848,-1.85906,-2.48609e-05,-0.000377457,1.53094e-07,371,10,TAK,0.000101773,-0.000299115,7.97432e-08,186,6,TAK,-2.1235e-09,-3.14612e-08,1.06563e-15,75,3,2,TAK
,6,0.350764,-0.978965,7.6642e-05,-0.000243278,5.22868e-08,223,6,TAK,-8.49068e-05,-0.00022071,8.18709e-08,149,5,TAK,-1.17753e-09,-7.05605e-10,4.10188e-18,112,4,3,TAK
,7,0.73253,-0.563206,2.60841e-05,-0.000621158,3.70996e-07,334,9,TAK,8.46251e-05,-0.000150776,2.42969e-08,186,5,TAK,0.73253,-0.563206,0.701251,38,1,1,NIE
,8,-1.80234,-0.344228,-1.74755,0.873682,0.298638,334,9,NIE,-1.74745,0.871808,0.298642,667,18,NIE,-1.74755,0.873776,0.298638,112,4,3,NIE
,9,1.4446,1.63585,7.09297e-05,-0.000579692,3.04987e-07,408,11,TAK,-0.00231899,0.00451044,2.06398e-05,2184,59,TAK,-3.79558e-09,7.3423e-09,5.48539e-17,75,3,2,TAK
,10,-1.48029,-0.206676,-1.74748,0.873834,0.298638,186,5,NIE,-1.74744,0.873099,0.298639,186,5,NIE,1.74755,-0.873776,0.298638,149,4,4,NIE
,11,-0.692971,-1.42464,0.000138988,-0.000212803,5.43436e-08,334,9,TAK,0.000190153,-0.000168406,6.86541e-08,186,6,TAK,-1.74755,0.873776,0.298638,75,3,2,NIE
,12,0.413561,1.87709,-0.000264623,0.000391917,1.89939e-07,334,9,TAK,-5.26992e-05,0.000154755,2.13481e-08,186,5,TAK,-6.95459e-14,6.60811e-14,9.44431e-27,149,5,4,TAK
,13,0.663589,1.74025,-0.000233636,0.000349483,1.49658e-07,334,9,TAK,-0.000222688,0.000258146,1.08333e-07,186,6,TAK,1.74755,-0.873776,0.298638,149,5,4,NIE
,14,0.856974,1.34943,-0.000389255,0.000558977,3.9791e-07,260,7,TAK,-2.46638e-05,8.38978e-06,1.08007e-09,186,5,TAK,1.12467,-0.562336,0.870907,75,2,2,NIE
,15,-1.70249,0.188227,-1.7475,0.872806,0.298639,297,8,NIE,-1.74753,0.873653,0.298638,186,5,NIE,-1.74755,0.873776,0.298638,112,4,3,NIE
,16,-0.805857,1.67735,-3.51091e-05,0.000629964,3.77202e-07,408,11,TAK,-1.90252,2.90313,4.29122,10028,272,NIE,-1.17976,0.589879,0.851026,75,2,2,NIE
,17,1.12002,0.858609,2.81149e-05,-0.000653148,4.0982e-07,371,10,TAK,0.00026723,-0.000416682,2.05097e-07,556,15,TAK,1.0708,-0.535379,0.877361,75,2,2,NIE
,18,0.643692,0.705308,8.93016e-05,0.000213575,8.06364e-08,223,6,TAK,2.21509e-05,0.000314319,1.0674e-07,149,4,TAK,1.74755,-0.873776,0.298638,149,5,4,NIE
,19,1.22979,1.32963,6.41016e-05,-0.000660257,4.01833e-07,371,10,TAK,0.000192518,-0.000361186,1.35047e-07,556,15,TAK,1.06121,-0.530605,0.877171,75,2,2,NIE
,20,-1.16573,0.397302,-1.74755,0.873771,0.298638,149,4,NIE,-1.74827,0.882376,0.298709,1185,32,NIE,-1.0699,0.53495,0.877361,75,2,2,NIE
,21,0.388232,-1.3256,0.000100267,-0.000404079,1.42871e-07,297,8,TAK,0.000306448,-0.000368047,2.10492e-07,112,3,TAK,-1.16946e-07,-4.75232e-08,3.5169e-14,112,4,3,TAK
,22,1.98346,-1.93853,4.44001e-06,-0.000458698,2.08406e-07,408,11,TAK,1.4979e-05,5.77911e-07,4.57732e-10,149,5,TAK,1.74755,-0.873776,0.298638,186,5,5,NIE
,23,-0.214856,1.54051,-6.73923e-05,0.000509253,2.34102e-07,371,10,TAK,-0.000162321,0.000253157,7.56922e-08,186,5,TAK,-8.33423e-14,5.35305e-13,2.5583e-25,112,4,3,TAK
,24,0.943972,-1.83419,1.74751,-0.872397,0.29864,445,12,NIE,1.74771,-0.877782,0.298654,556,15,NIE,1.08252,-0.541258,0.877047,75,2,2,NIE
,25,-1.5784,0.180588,-1.74745,0.873136,0.298639,445,12,NIE,-1.74752,0.873638,0.298638,297,8,NIE,-1.74755,0.873776,0.298638,149,5,4,NIE
,26,-1.79039,1.05095,-1.74747,0.875594,0.298642,556,15,NIE,-1.74751,0.873245,0.298639,112,3,NIE,-1.74755,0.873776,0.298638,112,4,3,NIE
,27,-0.275902,-0.206438,-4.18628e-05,-3.64714e-05,6.36194e-09,149,4,TAK,2.53991e-05,-5.34761e-05,2.79168e-09,112,4,TAK,-8.28161e-13,-4.46435e-13,1.94073e-24,112,4,3,TAK
,28,1.94652,-0.477038,0.000116319,-4.73033e-06,2.65325e-08,223,7,TAK,-0.000138216,-0.000127901,7.22436e-08,260,7,TAK,1.74755,-0.873776,0.298638,186,5,5,NIE
,29,-0.710983,-1.62598,0.000204083,-0.000304824,1.14008e-07,334,9,TAK,0.000266375,-0.000247385,1.37214e-07,186,6,TAK,1.22729e-09,-6.13646e-10,2.63592e-18,112,4,3,TAK
,30,0.953021,1.93952,-0.000215318,0.000281712,1.11427e-07,334,9,TAK,-0.00011292,4.10147e-05,2.25526e-08,186,6,TAK,1.08035,-0.540173,0.877151,75,2,2,NIE
,31,0.443106,0.536762,6.54756e-05,0.000111771,2.83852e-08,223,6,TAK,9.01041e-05,0.00016774,5.94882e-08,149,4,TAK,-8.41905e-08,2.20686e-07,4.42988e-14,112,4,3,TAK
,32,1.22917,-1.63236,1.74792,-0.875218,0.298641,556,15,NIE,1.74753,-0.873935,0.298638,223,6,NIE,1.06137,-0.530683,0.877178,75,2,2,NIE
,33,-1.85288,-1.09648,-0.000133812,0.000211941,5.237e-08,334,9,TAK,-0.000124908,0.000983904,8.76373e-07,260,7,TAK,-1.74755,0.873776,0.298638,149,5,4,NIE
,34,0.631712,0.976307,-0.000258289,0.000427406,2.05708e-07,260,7,TAK,-5.49616e-05,4.67431e-05,5.65739e-09,186,6,TAK,1.74755,-0.873776,0.298638,149,5,4,NIE
,35,0.922415,-1.58151,1.74753,-0.873234,0.298639,482,13,NIE,1.74669,-0.867042,0.298683,2073,56,NIE,1.08901,-0.544507,0.876613,75,2,2,NIE
,36,1.56643,0.690357,1.74753,-0.873442,0.298639,297,8,NIE,1.74738,-0.872773,0.298639,186,5,NIE,1.74755,-0.873776,0.298638,186,6,5,NIE
,37,-1.12562,-0.847082,-3.18623e-05,0.00066216,4.19389e-07,371,10,TAK,-0.00039286,0.000476561,3.48566e-07,556,15,TAK,-1.0708,0.535377,0.877361,75,2,2,NIE
,38,0.750978,-0.718062,0.000398217,-0.000329744,2.94574e-07,223,6,TAK,-4.55673e-05,-0.000361789,1.5153e-07,112,4,TAK,1.29097,-0.645486,0.771626,75,2,2,NIE
,39,-0.368966,1.46301,-0.000256935,0.000160888,1.16578e-07,334,9,TAK,-6.53301e-05,0.000107463,1.30638e-08,186,5,TAK,2.14561e-08,4.89921e-09,1.04985e-15,112,4,3,TAK
,40,1.3699,0.4855,1.74753,-0.873487,0.298639,223,6,NIE,1.74756,-0.873765,0.298638,149,5,NIE,0.90544,-0.45272,0.82081,75,2,2,NIE
,41,-1.69968,0.0875137,-1.74753,0.873324,0.298639,371,10,NIE,-1.74752,0.873534,0.298639,186,5,NIE,-1.74755,0.873776,0.298638,112,4,3,NIE
,42,-1.88378,-0.550375,-9.99345e-05,0.000184505,3.55774e-08,260,7,TAK,0.000128995,-2.43577e-05,3.07307e-08,297,9,TAK,-1.74755,0.873776,0.298638,149,5,4,NIE
,43,0.893113,1.57765,4.4539e-05,0.000427167,2.05465e-07,297,8,TAK,-5.67517e-05,2.02974e-05,5.70158e-09,186,6,TAK,1.1015,-0.55075,0.875256,75,2,2,NIE
,44,-1.6039,-0.225313,-1.74752,0.873766,0.298638,186,5,NIE,-1.74757,0.873729,0.298638,149,5,NIE,-1.74755,0.873776,0.298638,186,5,5,NIE
,45,0.151174,1.28201,3.10726e-05,0.00027133,8.39819e-08,371,10,TAK,0.000131827,7.74369e-05,5.09613e-08,149,5,TAK,3.76492e-08,3.01514e-07,1.05098e-13,75,3,2,TAK
,46,-1.23034,1.45316,-1.74797,0.87552,0.298642,260,7,NIE,-1.74761,0.873833,0.298638,112,4,NIE,-1.06107,0.530535,0.877166,75,2,2,NIE
,47,0.478719,-1.27145,0.000200126,-6.29407e-05,7.14661e-08,260,7,TAK,0.000181338,-0.000385558,1.44505e-07,186,5,TAK,-3.92411e-13,-5.78305e-13,8.69343e-25,149,5,4,TAK
,48,0.796817,-0.0292689,2.26256e-05,-4.91989e-05,2.33121e-09,186,5,TAK,-0.000250432,0.00050064,2.50696e-07,371,10,TAK,1.19339,-0.596697,0.844051,75,2,2,NIE
,49,0.378477,-0.390969,1.61923e-05,-0.000540713,2.84139e-07,334,9,TAK,7.31266e-06,5.42021e-07,1.11207e-10,149,4,TAK,2.27325e-13,-1.88529e-13,9.60391e-26,112,4,3,TAK
,50,-0.911316,-0.579368,-0.000148426,0.000223813,6.09329e-08,334,9,TAK,9.40272e-05,-9.99837e-05,1.82778e-08,334,9,TAK,-1.09319,0.546597,0.876235,75,2,2,NIE
,51,-0.79321,1.90862,-6.07254e-05,-1.46159e-05,8.47632e-09,223,7,TAK,2.26259,-0.33461,4.43642,10028,272,NIE,-1.19925,0.599627,0.840808,75,2,2,NIE
,52,-0.491938,0.678404,6.1102e-05,0.000161383,4.33724e-08,260,7,TAK,-2.5131e-05,0.00020648,3.87081e-08,186,5,TAK,-1.60622e-13,4.39702e-12,1.86792e-23,112,4,3,TAK
,53,0.132693,-1.33879,5.46486e-05,-0.000562633,2.91781e-07,371,10,TAK,4.28631e-05,-7.49349e-05,6.07779e-09,186,5,TAK,9.63896e-09,-9.28625e-08,7.91416e-15,75,3,2,TAK
,54,-1.56924,-1.65554,-7.69619e-05,0.000448421,1.78416e-07,408,11,TAK,2.01358,-2.45766,3.04812,10028,272,NIE,-1.74755,0.873776,0.298638,223,6,6,NIE
,55,1.46233,1.90725,0.000130219,-0.000322215,9.57778e-08,149,5,TAK,0.000731922,-0.00224534,4.46957e-06,704,19,TAK,9.96304e-11,2.08058e-10,8.38694e-20,149,5,4,TAK
,56,-0.220054,-0.709765,-6.79604e-05,-0.000234629,8.02336e-08,297,8,TAK,0.000140539,-0.000284049,8.02662e-08,112,4,TAK,-2.28636e-13,-6.38145e-13,6.57682e-25,112,4,3,TAK
,57,1.83504,-1.32437,1.74797,-0.875531,0.298642,667,18,NIE,1.74757,-0.873844,0.298638,186,5,NIE,1.74755,-0.873776,0.298638,149,5,4,NIE
,58,-1.82514,-1.10647,-0.000284224,0.000419615,2.18378e-07,334,9,TAK,0.000183667,-0.000187583,6.82019e-08,334,9,TAK,-1.74755,0.873776,0.298638,149,4,4,NIE
,59,-1.72004,-1.77173,-1.98501e-05,0.000624642,3.78566e-07,371,10,TAK,0.000175769,-0.000717184,4.50083e-07,408,11,TAK,-1.74755,0.873776,0.298638,112,4,3,NIE
,60,-1.3995,-0.326814,-1.74755,0.873758,0.298638,149,4,NIE,-1.74757,0.874049,0.298639,297,8,NIE,-0.77601,0.388005,0.709464,75,2,2,NIE
,61,-0.455936,1.06399,-0.000217115,1.07359e-05,9.20623e-08,186,6,TAK,-8.73953e-05,-2.13943e-05,1.76033e-08,223,6,TAK,1.52293e-14,2.43751e-14,1.42923e-27,149,4,4,TAK
,62,-1.65117,-0.960249,-1.74752,0.873077,0.298639,445,12,NIE,-1.74751,0.873576,0.298638,260,7,NIE,-1.74755,0.873776,0.298638,149,5,4,NIE
,63,-1.95656,1.51604,-4.38187e-05,0.000415403,1.58198e-07,408,11,TAK,2.7319e-05,0.000471866,2.37041e-07,223,6,TAK,-1.74755,0.873776,0.298638,186,5,5,NIE
,64,0.919041,-1.06819,-8.15452e-05,-0.000248752,9.54612e-08,334,9,TAK,5.21673e-06,-5.08117e-05,2.37119e-09,260,7,TAK,1.09022,-0.54511,0.876512,75,2,2,NIE
,65,-1.05388,0.346733,-3.17192e-05,0.00030497,8.53453e-08,408,11,TAK,-1.95528,2.90398,4.36747,10028,272,NIE,-1.07064,0.535318,0.877362,75,2,2,NIE
,66,1.00496,-1.40431,1.74753,-0.873018,0.298639,519,14,NIE,1.74717,-0.869578,0.298655,852,23,NIE,1.07274,-0.536368,0.877351,75,2,2,NIE
,67,0.301081,0.52953,-6.46768e-05,0.000116885,1.44686e-08,260,7,TAK,3.79381e-05,3.47793e-05,5.40766e-09,149,4,TAK,-5.17837e-12,1.42998e-11,1.84066e-22,112,4,3,TAK
,68,0.81181,-0.468981,7.04651e-05,-0.000380396,1.27827e-07,334,9,TAK,-0.000484289,0.00100987,9.99836e-07,371,10,TAK,0.81181,-0.468981,0.748953,38,1,1,NIE
,69,1.45159,-1.10165,1.74765,-0.874416,0.298639,334,9,NIE,1.74753,-0.874545,0.298639,149,4,NIE,8.46895e-08,-6.29929e-08,1.29779e-14,75,3,2,TAK
,70,-0.220444,1.88278,-7.00376e-05,0.000632628,3.65721e-07,371,10,TAK,4.22441e-05,0.000148404,3.18622e-08,223,6,TAK,-7.97262e-14,6.05454e-13,3.31016e-25,112,4,3,TAK
,71,1.26672,-1.94047,1.74796,-0.875378,0.298641,704,19,NIE,1.74788,-0.874944,0.29864,260,7,NIE,1.04775,-0.523873,0.876231,75,2,2,NIE
,72,-0.279989,-0.903867,-8.75629e-05,-0.000315875,1.42771e-07,297,8,TAK,-7.64171e-06,-5.59906e-06,1.90927e-10,149,4,TAK,-1.92107e-12,-8.23496e-12,9.10154e-23,112,4,3,TAK
,73,-0.440515,0.42627,-2.86427e-05,0.000602538,3.47435e-07,334,9,TAK,-4.27576e-05,-6.64016e-06,3.98444e-09,149,5,TAK,-2.16253e-13,1.54358e-13,8.39765e-26,112,4,3,TAK
,74,-1.63588,-0.558425,-1.74753,0.873398,0.298639,371,10,NIE,-1.74753,0.873707,0.298638,260,7,NIE,-1.74755,0.873776,0.298638,149,5,4,NIE
,75,-1.37216,0.980124,-1.74746,0.873164,0.298639,260,7,NIE,-1.74757,0.874126,0.298639,149,4,NIE,-1.37216,0.980124,0.771567,38,1,1,NIE
,76,-0.87943,1.74544,-1.74752,0.873095,0.298639,408,11,NIE,-1.74601,0.862271,0.298767,2443,66,NIE,-1.10911,0.554556,0.87409,75,2,2,NIE
,77,-1.69787,0.658384,-1.74725,0.872284,0.298641,519,14,NIE,-1.74755,0.873746,0.298638,186,5,NIE,-1.74755,0.873776,0.298638,112,4,3,NIE
