t;x;vx;y;vy
5.7100;19.5131;7.7064;8.1056;-21.9894
5.7200;19.5902;7.7177;7.8857;-21.9930
5.7300;19.6674;7.7289;7.6658;-21.9967
5.7400;19.7448;7.7400;7.4458;-22.0003
5.7500;19.8222;7.7512;7.2258;-22.0038
5.7600;19.8998;7.7623;7.0057;-22.0074
5.7700;19.9775;7.7733;6.7856;-22.0109
5.7800;20.0552;7.7844;6.5655;-22.0145
5.7900;20.1331;7.7954;6.3453;-22.0180
5.8000;20.2112;7.8064;6.1251;-22.0214
5.8100;20.2893;7.8173;5.9049;-22.0249
5.8200;20.3675;7.8282;5.6846;-22.0283
5.8300;20.4458;7.8391;5.4643;-22.0317
5.8400;20.5243;7.8499;5.2440;-22.0351
5.8500;20.6028;7.8607;5.0236;-22.0385
5.8600;20.6815;7.8715;4.8032;-22.0419
5.8700;20.7603;7.8823;4.5828;-22.0452
5.8800;20.8391;7.8930;4.3623;-22.0485
5.8900;20.9181;7.9037;4.1418;-22.0518
5.9000;20.9972;7.9143;3.9213;-22.0551
5.9100;21.0764;7.9249;3.7007;-22.0584
5.9200;21.1557;7.9355;3.4801;-22.0616
5.9300;21.2351;7.9461;3.2595;-22.0648
5.9400;21.3146;7.9566;3.0388;-22.0680
5.9500;21.3942;7.9671;2.8181;-22.0712
5.9600;21.4740;7.9775;2.5974;-22.0744
5.9700;21.5538;7.9880;2.3766;-22.0775
5.9800;21.6337;7.9983;2.1559;-22.0807
5.9900;21.7138;8.0087;1.9350;-22.0838
6.0000;21.7939;8.0190;1.7142;-22.0869
6.0100;21.8741;8.0293;1.4933;-22.0899
6.0200;21.9545;8.0396;1.2724;-22.0930
6.0300;22.0349;8.0498;1.0514;-22.0960
6.0400;22.1155;8.0600;0.8305;-22.0991
6.0500;22.1961;8.0702;0.6095;-22.1021
6.0600;22.2769;8.0803;0.3884;-22.1050
6.0700;22.3577;8.0904;0.1673;-22.1080
6.0800;22.4387;8.1005;-0.0537;-22.1110
6.0900;22.5198;8.1106;-0.2749;-22.1139
6.1000;22.6009;8.1206;-0.4960;-22.1168
