i;a;b;width
0;1;100;99
1;1;58.5001;57.5001
2;1;50.5;49.5
3;1;42.0761;41.0761
4;1;36.29;35.29
5;1;31.1353;30.1353
6;1;27.1331;26.1331
7;1;23.7299;22.7299
8;18.6041;23.7299;5.1258
9;18.6041;20.9508;2.34662
10;18.6041;20.4793;1.87514
11;19.9541;20.4793;0.525215
12;20.0203;20.4793;0.459018
13;20.0203;20.1817;0.161458
14;20.0203;20.165;0.144734
15;20.1238;20.165;0.0411706
16;20.1272;20.165;0.0378121
17;20.1272;20.1413;0.0141004
18;20.1272;20.1399;0.012718
19;20.1364;20.1399;0.0034733
