==========================================;;;;;;;
Metoda Hooke'a-Jeevesa;;;;;;;
==========================================;;;;;;;
;;;;;;;
--- Krok startowy s = 1.000000 ---;;;;;;;
--- Tabela 1 (dane surowe) ---;;;;;;;
x1_start;x2_start;x1_opt;x2_opt;y_opt;f_calls;flag;
-0.563408;0.119103;-0.000908;-0.000038;2,63E-05; ;80;1
0.027689;-0.302885;0.000346;0.775240;0,61985; ;90;1
-0.107750;0.711876;-0.000328;0.774376;0,619844; ;82;1
0.789175;0.821915;0.775503;0.775040;1,2397; ;65;1
0.223357;0.376110;-0.774690;-0.000843;0,61986; ;71;1
-0.773764;0.173690;-0.773764;-0.775529;1,23972; ;82;1
0.121689;0.562604;0.000595;0.000104;1,16E-05; ;73;1
0.795107;0.782037;0.775576;0.774224;1,23971; ;73;1
-0.272424;0.343627;0.774451;-0.000123;0,61984; ;94;1
-0.367482;0.213920;-0.000294;-0.774362;0,619844; ;166;1
;;;;;;;
--- Tabela 2 (podsumowanie) dla s = 1.000000 ---;;;;;;;
Liczba znalezionych minimow globalnych:;47/100;;;;;;
Srednia liczba wywolan f. celu (dla globalnych):;96.787234;;;;;;
------------------------------------------;;;;;;;
;;;;;;;
--- Krok startowy s = 0.100000 ---;;;;;;;
--- Tabela 1 (dane surowe) ---;;;;;;;
x1_start;x2_start;x1_opt;x2_opt;y_opt;f_calls;flag;
-0.939863;-0.528581;-0.774238;-0.775456;1,2397; ;80;1
0.462144;0.113548;0.774644;-0.000514;0,619846; ;63;1
0.187976;-0.885121;0.000476;-0.774184;0,619853; ;65;1
-0.999535;0.577726;-0.774535;0.774601;1,23968; ;58;1
-0.335662;-0.114013;0.000275;0.000050;2,49E-06; ;78;1
-0.109819;-0.020080;-0.000444;0.000232;8,00E-06; ;78;1
-0.848758;0.958919;-0.775321;0.774544;1,23969; ;89;1
-0.493006;0.562468;-0.774256;0.774968;1,23968; ;65;1
0.880212;-0.107936;0.773962;-0.000124;0,619855; ;68;1
-0.463352;-0.172573;0.000710;-0.000698;3,16E-05; ;84;1
0.572135;0.902308;0.775260;0.774183;1,23969; ;65;1
-0.811481;0.015771;-0.773981;0.000146;0,619855; ;68;1
-0.284900;-0.062492;-0.000525;0.000008;8,79E-06; ;72;1
-0.170673;-0.237830;-0.000360;-0.000330;7,59E-06; ;89;1
-0.094480;-0.688964;-0.000730;-0.774902;0,619855; ;77;1
0.203552;-0.587789;0.000427;-0.775289;0,619853; ;74;1
-0.906836;-0.349884;-0.774024;0.000116;0,619853; ;80;1
0.321283;0.442356;-0.000592;0.775169;0,619855; ;87;1
-0.502656;-0.749385;-0.774531;-0.774385;1,23968; ;65;1
-0.374886;0.027076;0.000114;0.000513;8,81E-06; ;77;1
0.446188;0.349505;0.774313;-0.000495;0,61985; ;72;1
-0.540254;-0.728199;-0.774629;-0.775074;1,23968; ;81;1
-0.197116;0.771677;-0.000241;0.774802;0,619839; ;50;1
0.202888;0.349107;-0.000237;0.000670;1,61E-05; ;66;1
0.311310;-0.275648;0.000373;-0.000648;1,78E-05; ;65;1
0.062087;-0.540429;-0.000413;-0.774804;0,619843; ;80;1
-0.040353;-0.493686;0.000272;-0.774936;0,619841; ;83;1
-0.639480;0.040770;-0.775418;0.000145;0,619853; ;83;1
0.083481;-0.725782;0.000669;-0.774219;0,619859; ;85;1
0.025447;0.662860;0.000447;0.775360;0,619857; ;62;1
0.871388;0.089101;0.774513;0.000038;0,619839; ;68;1
0.012444;-0.400266;-0.000056;-0.000266;2,35E-06; ;55;1
0.990796;-0.475984;0.775171;-0.774422;1,23968; ;82;1
0.634889;0.744086;0.773951;0.775336;1,2397; ;85;1
0.788368;-0.103389;0.774306;-0.000264;0,619845; ;78;1
0.991454;0.417164;0.774267;0.774976;1,23968; ;91;1
0.020553;0.633680;0.000240;0.774305;0,619844; ;84;1
0.124226;-0.984045;-0.000774;-0.774670;0,619856; ;74;1
-0.753948;-0.455101;-0.774261;-0.000414;0,619849; ;85;1
0.710731;-0.560402;0.774793;-0.774465;1,23968; ;79;1
-0.390944;0.704033;-0.000319;0.774345;0,619845; ;92;1
0.694795;0.580522;0.774482;0.774272;1,23968; ;65;1
0.917241;0.558335;0.775054;0.773960;1,2397; ;88;1
0.397533;-0.314276;0.774096;-0.000214;0,619851; ;77;1
0.466293;-0.668267;0.774106;-0.774517;1,23969; ;71;1
0.151325;0.940993;-0.000237;0.775368;0,619852; ;89;1
0.645258;0.070108;0.774945;-0.000204;0,61984; ;73;1
0.270082;0.546539;-0.000230;0.774664;0,619839; ;79;1
-0.845604;0.039876;-0.775292;-0.000749;0,619865; ;84;1
-0.489271;0.390952;-0.775209;0.775327;1,23969; ;86;1
-0.623923;0.492935;-0.775485;0.774185;1,2397; ;81;1
0.063553;0.715887;-0.000510;0.775262;0,619855; ;83;1
0.344435;0.747803;0.000685;0.774366;0,619856; ;82;1
-0.943001;0.682899;-0.774251;0.775087;1,23969; ;88;1
0.863324;0.089552;0.774262;0.000490;0,619851; ;59;1
-0.047075;-0.066111;-0.000200;-0.000486;8,80E-06; ;76;1
-0.599774;0.113722;-0.774774;-0.000341;0,619841; ;73;1
0.171220;0.345071;-0.000655;-0.000241;1,55E-05; ;80;1
0.493013;-0.885838;0.774263;-0.774901;1,23968; ;72;1
0.241270;-0.489311;0.000645;-0.775248;0,619859; ;88;1
-0.649387;-0.856463;-0.774387;-0.775213;1,23969; ;68;1
0.296840;0.686550;-0.000035;0.774050;0,619851; ;66;1
0.164193;-0.702070;0.000130;-0.773945;0,619856; ;79;1
-0.213582;0.005587;0.000480;-0.000663;2,14E-05; ;75;1
0.252323;0.265982;0.000761;0.000357;2,25E-05; ;88;1
-0.241059;-0.346476;-0.000434;0.000399;1,10E-05; ;70;1
0.895812;0.797747;0.773937;0.774309;1,2397; ;68;1
0.482436;-0.461271;0.774623;-0.000334;0,619841; ;83;1
-0.297978;0.976129;0.000459;0.774567;0,619845; ;56;1
0.606997;0.601688;0.774185;0.775125;1,23969; ;87;1
-0.814154;0.649013;-0.775091;0.774013;1,23969; ;77;1
0.558564;0.265216;0.774189;-0.000409;0,619851; ;79;1
-0.007586;0.261120;0.000227;0.000183;2,70E-06; ;73;1
-0.434990;0.532575;-0.000615;0.774763;0,619849; ;91;1
-0.316873;-0.872034;0.000314;-0.775159;0,619846; ;80;1
0.393081;-0.955345;0.774331;-0.774095;1,23969; ;68;1
